Site,Habitat,Colonies,Colonies_Mean,Colonies_SD,Length_Mean,Length_SD,LiveTissue_Mean,LiveTissue_SD,Density_Mean,Density_SD
41,RS,9,3.0,2.65,24.33,10.01,75.0,27.16,0.02,0.01
59,RS,2,0.67,0.58,26.5,17.68,92.5,10.61,0.01,0.0
60,RS,0,,,,,,,0.0,
76,RS,8,2.67,3.79,27.25,11.21,91.25,6.41,0.01,0.02
77,RS,18,6.0,8.72,23.5,7.31,90.83,10.74,0.03,0.04
91,CPS,55,18.33,17.04,32.04,14.48,82.27,20.97,0.09,0.09
92,RS,127,42.33,19.66,30.07,15.55,78.57,24.78,0.21,0.1
93,RS,37,12.33,16.29,32.16,14.09,86.27,21.92,0.06,0.08
105,RS,9,3.0,4.36,35.0,16.3,81.67,19.53,0.02,0.02
106,RS,106,35.33,13.58,26.27,12.44,79.35,23.88,0.18,0.07
107,CPS,80,26.67,20.82,27.23,11.98,83.01,19.77,0.13,0.1
108,CPS,7,2.33,2.08,35.0,11.9,63.57,23.93,0.01,0.01
109,CPS,42,14.0,7.81,30.83,15.9,89.81,16.19,0.07,0.04
110,CPS,10,3.33,5.77,25.5,13.63,75.0,13.54,0.02,0.03
122,CPS,7,2.33,2.52,38.57,16.23,82.86,18.49,0.01,0.01
123,RS,137,45.67,12.22,29.22,16.58,69.56,24.64,0.23,0.06
124,CPS,36,12.0,4.58,36.53,22.29,76.67,19.57,0.06,0.02
125,CPS,19,6.33,2.52,37.05,19.82,80.26,16.87,0.03,0.01
127,CPS,7,2.33,2.08,39.29,22.28,85.71,29.36,0.01,0.01
138,RS,32,10.67,10.02,31.28,16.64,72.81,28.37,0.05,0.05
139,CPS,5,1.67,2.89,37.0,8.37,96.0,5.48,0.01,0.01
140,CPS,32,10.67,3.79,33.97,15.02,78.59,22.55,0.05,0.02
141,CPS,11,3.67,6.35,30.91,14.69,68.18,16.62,0.02,0.03
152,CPS,2,0.67,1.15,35.0,14.14,65.0,21.21,0.01,0.01
153,CPS,15,5.0,4.36,46.87,20.55,75.67,17.2,0.03,0.02
154,CPS,6,2.0,1.73,40.0,5.48,83.33,18.62,0.01,0.01
163,CPS,4,1.33,2.31,26.25,7.5,95.0,5.77,0.01,0.01
208,IR,0,,,,,,,0.0,
320,OR,0,,,,,,,0.0,
