batch,site,latitude,longitude,subregion,zone,field_habitat,team,transect_num,date,end_depth,acer,apal,dcyl,healthy_diadema,diseased_diadema
2024B,AA1083,26.241249,-80.083107,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-08-14T00:00:00Z,18,N,N,N,N,N
2024B,AA1083,26.241249,-80.083107,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-08-14T00:00:00Z,16,N,N,N,Y,N
2024B,AA1084,26.237202,-80.08564,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-08-14T00:00:00Z,12,N,N,N,Y,N
2024B,AA1084,26.237202,-80.08564,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-08-14T00:00:00Z,13,N,N,N,N,N
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-08-14T00:00:00Z,12,N,N,N,N,N
2024B,AA1086,26.23089,-80.087189,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-08-14T00:00:00Z,16,N,N,N,N,N
2024B,AA1087,26.228138,-80.0802,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-10-01T00:00:00Z,27,N,N,N,N,N
2024B,AA1087,26.228138,-80.0802,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-10-01T00:00:00Z,30,N,N,N,N,N
2024B,AA1089,26.226822,-80.08622,Broward-Miami,Forereef,Reef Rubble,Broward County,1,2024-08-14T00:00:00Z,17,N,N,N,N,N
2024B,AA1089,26.226822,-80.08622,Broward-Miami,Forereef,Reef Rubble,Broward County,2,2024-08-14T00:00:00Z,16,N,N,N,N,N
2024B,AA1090,26.22366,-80.085747,Broward-Miami,Forereef,Reef Rubble,Broward County,1,2024-08-14T00:00:00Z,15,N,N,N,N,N
2024B,AA1090,26.22366,-80.085747,Broward-Miami,Forereef,Reef Rubble,Broward County,2,2024-08-14T00:00:00Z,16,N,N,N,Y,N
2024B,AA1091,26.223221,-80.087753,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-10-16T00:00:00Z,17,N,N,N,Y,N
2024B,AA1091,26.223221,-80.087753,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-10-16T00:00:00Z,19,N,N,N,Y,N
2024B,AA1092,26.217794,-80.088824,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-08-14T00:00:00Z,12,N,N,N,Y,N
2024B,AA1092,26.217794,-80.088824,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-08-14T00:00:00Z,12,N,N,N,Y,N
2024B,AA1094,26.202915,-80.089409,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-09-09T00:00:00Z,16,N,N,N,Y,N
2024B,AA1094,26.202915,-80.089409,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-09-09T00:00:00Z,18,N,N,N,Y,N
2024B,AA1095,26.202894,-80.085907,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-10-16T00:00:00Z,15,N,N,N,Y,N
2024B,AA1095,26.202894,-80.085907,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-10-16T00:00:00Z,13,N,N,N,Y,N
2024B,AA1096,26.191198,-80.092506,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-10-16T00:00:00Z,11,N,N,N,N,N
2024B,AA1096,26.191198,-80.092506,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-10-16T00:00:00Z,12,N,N,N,N,N
2024B,AA1097,26.188919,-80.08902,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-08-14T00:00:00Z,17,Y,N,N,N,N
2024B,AA1097,26.188919,-80.08902,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-08-14T00:00:00Z,18,Y,N,N,Y,N
2024B,AA1098,26.18891,-80.087517,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-10-01T00:00:00Z,15,N,N,N,N,N
2024B,AA1098,26.18891,-80.087517,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-10-01T00:00:00Z,16,N,N,N,Y,N
2024B,AA1099,26.186207,-80.088539,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-10-16T00:00:00Z,11,N,N,N,Y,N
2024B,AA1099,26.186207,-80.088539,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-10-16T00:00:00Z,11,N,N,N,Y,N
2024B,AA1102,26.175322,-80.08062,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,1,2024-10-01T00:00:00Z,61,N,N,N,N,N
2024B,AA1102,26.175322,-80.08062,Broward-Miami,Forereef,Contiguous Reef Other,Broward County,2,2024-10-01T00:00:00Z,58,N,N,N,N,N
2024B,AA1104,26.170824,-80.08266,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-08-13T00:00:00Z,41,N,N,N,N,N
2024B,AA1104,26.170824,-80.08266,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-08-13T00:00:00Z,41,N,N,N,N,N
2024B,AA1108,26.162291,-80.090225,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-01T00:00:00Z,10,Y,N,N,N,N
2024B,AA1108,26.162291,-80.090225,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-01T00:00:00Z,10,N,N,N,N,N
2024B,AA1109,26.160942,-80.09124,Broward-Miami,Forereef,Reef Rubble,NOVA Southeastern Univ.,1,2024-08-13T00:00:00Z,19,Y,N,N,N,N
2024B,AA1109,26.160942,-80.09124,Broward-Miami,Forereef,Reef Rubble,NOVA Southeastern Univ.,2,2024-08-13T00:00:00Z,17,Y,N,N,N,N
2024B,AA1110,26.153269,-80.091293,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-01T00:00:00Z,10,Y,N,N,N,N
2024B,AA1110,26.153269,-80.091293,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-01T00:00:00Z,12,Y,N,N,N,Y
2024B,AA1111,26.14834,-80.097336,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-24T00:00:00Z,16,Y,N,N,Y,N
2024B,AA1111,26.14834,-80.097336,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-24T00:00:00Z,15,Y,N,N,N,N
2024B,AA1113,26.139725,-80.0914,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-25T00:00:00Z,23,N,N,N,N,N
2024B,AA1113,26.139725,-80.0914,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-25T00:00:00Z,25,Y,N,N,N,N
2024B,AA1114,26.13889,-80.093697,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-25T00:00:00Z,15,Y,N,N,N,N
2024B,AA1114,26.13889,-80.093697,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-25T00:00:00Z,17,Y,N,N,N,N
2024B,AA1124,26.109669,-80.091848,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,41,N,N,N,N,N
