Date,Site,DRM Site ID,Lat,Lon,Complete?,T1,T2,T3,T4,
2024-09-12,1124,1124,,,√,KB,ASK,AN,AN,
2024-09-12,1126,1126,,,√,Xtina,ASK,AN,AN,*UNSUITABLE HABITAT
2024-09-11,1127,1127,,,√,ML,CAJ,XS,XS,
2024-09-11,1128,1128,,,√,SM,AN,KB,KB,
2024-09-09,1130,1130,,,√,MH,CAJ,MS,MS,
2024-09-09,1131,1131,,,√,SM,HW,AN,AN,
2024-09-09,1132,1132,,,√,SM,AN,HW,HW,
2024-09-12,1133,1133,,,√,Xtina,ASK,KB,KB,
2024-09-09,1134,1134,,,√,KB,CJ,MS,MS,"KB did transect 1, CJ did transect 2, MS did 3+4 - CJ"
2024-09-09,1137,1137,,,√,ML,XS,ML,XS,
2024-09-09,1138,1138,,,√,CAJ,MS,CAJ,MS,
2024-09-10,1139,1139,,,√,Xtina,MH,KB,KB,
2024-09-10,1141,1141,,,√,CAJ,MS,CAJ,MS,
2024-09-12,2111,2111,,,√,ML,MH,XS,XS,
2024-09-12,2112,2112,,,√,ASK,HW,AN,AN,
2024-09-10,2115,2115,,,√,MH,RC,KB,KB,
2024-09-09,2116,2116,,,√,AN,MH,AN,MH,"AN did T1 and T3, MH did T2 and T4. I circled T1 on my datasheet but it should be T2. - MH"
2024-09-09,2117,2117,,,√,ML,XS,ML,XS,
2024-09-10,2120,2120,,,√,ML,SM,XS,XS,
2024-09-10,121-ASK-SS,3097,26.07758,-80.09756,√,MH,HW,KB,KB,
2024-09-09,ESA1,,,,,MH,AN,KB,KB,Not sure about the site name but confident that I did this survey with Addy because I can see her pink fins in my pics. - MH
2024-09-09,ESA2,3096,26.086131,-80.102996,√,ML,RC,XS,XS,"* we may have surveyed ESA2 twice, and ESA1 zero times, on accident..."
2024-09-11,IRN1-110,3068,26.0954,-80.1012,√,ASK,SM (my datasheet says I did T1 but I'll enter in T2),KB,KB,*ASK sure about this site
,IRN1-110?,,,,,AN,KB,MH,MH,* this may be the wrong site ID
2024-09-11,IRN1-410,3069,26.0981,-80.1011,√,ML,MH,XS,XS,
2024-09-11,IRN2-410,3070,26.0982,-80.0988,√,SM,HW,KB,KB,"HW has IRN1-110 on her sheet, but attributing data to IRN2-410, since site ID issue"
2024-09-11,IRN3-110,3071,26.0954,-80.0957,√,ML,MH,XS,XS,
2024-09-11,IRN3-210,3072,26.0962,-80.0959,√,ML,MH,XS,XS,
2024-09-11,IRN3-410,3110,26.0985,-80.0959,√,Xtina,CAJ,MS,MS,"* should this be IRN3-410? from CRII? ...................... I have IRN4-110 written on my data sheet, and it was indeed a site we did from the CRII - CJ"
2024-09-11,IRN4-110,3073,26.0954,-80.0951,√,ASK?,HW,HW+ASK? not shared...,HW,*ASK sure about this site
2024-09-10,IRN4-210,3074,26.0963,-80.0949,√,ML,SM,XS,XS,
2024-09-11,IRN4-410,3075,26.0982,-80.0939,√,CAJ,AN,MS,MS,
2024-09-09,IRS1-110,3076,26.092,-80.1032,√,ML,RC,XS,XS,
2024-09-09,IRS1-210,3077,26.0911,-80.1032,√,MH,CAJ,MS,MS,
2024-09-09,IRS1-310,3078,26.0902,-80.1032,√,KB,MH,AN,AN,
2024-09-09,IRS1-810,3079,26.0857,-80.1032,√,ML,RC,XS,XS,
2024-09-10,IRS2-110,3080,26.0922,-80.1001,√,CAJ,MS,CAJ,MS,
2024-09-10,IRS2-310,3081,26.0902,-80.1001,√,ML,SM,XS,XS,
2024-09-12,IRS3-110,3082,26.092,-80.0962,√,CAJ,HW,MS,MS,
2024-09-12,IRS3-210,3083,26.0911,-80.0964,√,CAJ,HW,MS,MS,
2024-09-12,IRS3-310,3084,26.0902,-80.0966,√,CAJ,HW,MS,MS,
2024-09-12,IRS4-110,3085,26.0919,-80.0937,√,ML,MH,XS,XS,
2024-09-12,IRS4-210,3086,26.0911,-80.094,√,ML,MH,XS,XS,
2024-09-12,IRS4-310,3087,26.0902,-80.0941,√,ML,MH,XS,XS,
2024-09-11,NA,3095,26.099722,-80.097778,√,ML,XS,ML,XS,
2024-09-10,R2N1-110,3088,26.0957,-80.0915,√,ML,RC,XS,XS,
2024-09-10,R2N1-210,3089,26.0966,-80.0913,√,CAJ,MS,CAJ,MS,I believe this site was only MS + CJ
2024-09-10,R2N1-410,3090,26.0985,-80.091,√,AN,ASK,ASK,AN,
2024-09-10,R2N2-210,3091,26.0968,-80.0885,√,AN,ASK,ASK,AN,
2024-09-12,R2S1-110,3092,26.0918,-80.0915,√,ML,MH,XS,XS,
2024-09-12,R2S1-210,3093,26.0909,-80.0915,√,ML,MH,XS,XS,
2024-09-11,WPLG-Acer,3094,26.099233,-80.10165,√,MH,MS,MH,MS,
