site,taxon,max_width_cm
IN-1-AR,SIDE,1
IN-1-AR,SIDE,1
IN-1-AR,SIDE,1
IN-1-AR,SBOU,12
IN-1-AR,SIDE,2
IN-1-AR,SBOU,20
IN-1-AR,SIDE,2
IN-1-AR,SIDE,2
IN-1-AR,SIDE,2
IN-1-AR,SIDE,2
IN-1-AR,SBOU,20
IN-1-AR,SIDE,3
IN-1-AR,SSID,4
IN-1-AR,SIDE,1
IN-1-AR,SIDE,1
IN-1-AR,SIDE,1
IN-1-AR,SIDE,3
IN-2-AR,SIDE,2
IN-2-AR,SIDE,1
IN-2-AR,SIDE,1
IN-2-AR,SIDE,1
IN-2-AR,SSID,4
IN-2-AR,SIDE,1
IN-2-AR,SIDE,2
IN-2-AR,SIDE,2
IN-2-AR,SIDE,3
IN-2-AR,SIDE,1
IN-2-AR,SIDE,3
IN-2-AR,SIDE,1
IN-2-AR,SIDE,3
IN-2-AR,SIDE,3
IN-3-AR,SIDE,2
IN-3-AR,SIDE,1
IN-3-AR,SIDE,2
IN-3-AR,SIDE,1
IN-3-AR,SIDE,1
IN-3-AR,SIDE,1
IN-3-AR,SIDE,1
IN-3-AR,SBOU,4
IN-3-AR,SIDE,1
IN-3-AR,SIDE,1
IN-3-AR,SIDE,2
IN-3-AR,SIDE,2
IN-3-AR,SIDE,3
IN-3-AR,SIDE,2
IN-3-AR,SIDE,3
IN-3-AR,SIDE,2
IN-3-AR,SIDE,2
IN-3-AR,SIDE,1
IN-3-AR,SIDE,2
IN-3-AR,SIDE,3
IN-3-AR,SIDE,2
IN-3-AR,SIDE,1
IN-3-AR,SIDE,3
IN-3-AR,PPOR,3
IN-3-AR,PPOR,5
IN-3-AR,SIDE,2
IN-3-AR,PPOR,3
IN-3-AR,SIDE,2
IN-3-AR,SIDE,2
IN-3-AR,SRAD,4
IN-3-AR,SIDE,2
IN-3-AR,SIDE,1
IN-3-AR,SIDE,2
IN-3-AR,SIDE,2
IN-3-AR,SIDE,2
IN-3-AR,SIDE,2
IN-3-AR,SIDE,3
IN-3-AR,SIDE,3
IN-3-AR,SIDE,2
IN-3-AR,SIDE,2
IN-3-AR,SIDE,2
IN-3-AR,SIDE,2
IN-3-AR,SIDE,2
IN-4-AR,SIDE,3
IN-4-AR,SIDE,1
IN-4-AR,SIDE,3
IN-4-AR,SIDE,2
IN-4-AR,SIDE,3
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SIDE,2
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SIDE,4
IN-4-AR,SIDE,2
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SIDE,2
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,3
IN-4-AR,SBOU,12
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,3
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,PAST,4
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SBOU,21
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,3
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SIDE,2
IN-4-AR,SIDE,4
IN-4-AR,SIDE,1
IN-4-AR,SIDE,2
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-4-AR,SIDE,3
IN-4-AR,SIDE,1
IN-4-AR,SIDE,1
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,1
IN-5-AR,SIDE,1
IN-5-AR,SIDE,2
IN-5-AR,SIDE,3
IN-5-AR,SIDE,4
IN-5-AR,SIDE,1
IN-5-AR,SIDE,1
IN-5-AR,SIDE,1
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,1
IN-5-AR,SIDE,2
IN-5-AR,SIDE,1
IN-5-AR,SIDE,3
IN-5-AR,SIDE,2
IN-5-AR,SIDE,3
IN-5-AR,SIDE,3
IN-5-AR,SIDE,2
IN-5-AR,SIDE,1
IN-5-AR,SIDE,5
IN-5-AR,SIDE,1
IN-5-AR,SIDE,1
IN-5-AR,SIDE,1
IN-5-AR,PAST,5
IN-5-AR,SIDE,3
IN-5-AR,SIDE,1
IN-5-AR,SIDE,1
IN-5-AR,SIDE,1
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SBOU,10
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,3
IN-5-AR,SIDE,2
IN-5-AR,PAST,5
IN-5-AR,PAST,4
IN-5-AR,SIDE,2
IN-5-AR,PAST,5
IN-5-AR,PAST,2
IN-5-AR,PAST,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,3
IN-5-AR,SINT,5
IN-5-AR,SIDE,2
IN-5-AR,SIDE,1
IN-5-AR,SIDE,1
IN-5-AR,SIDE,1
IN-5-AR,SIDE,3
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,4
IN-5-AR,SIDE,4
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,1
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,3
IN-5-AR,SIDE,3
IN-5-AR,SIDE,2
IN-5-AR,SIDE,3
IN-5-AR,SIDE,3
IN-5-AR,SIDE,2
IN-5-AR,SIDE,3
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,2
IN-5-AR,SIDE,3
IN-5-AR,SIDE,1
IN-5-AR,SIDE,1
IN-5-AR,SIDE,2
IN-6-CP,SIDE,3
IN-6-CP,SBOU,12
IN-6-CP,SIDE,2
IN-6-CP,SIDE,2
IN-6-CP,SIDE,3
IN-6-CP,SIDE,3
IN-6-CP,SIDE,3
IN-6-CP,SIDE,3
IN-6-CP,SIDE,1
IN-6-CP,SIDE,1
IN-6-CP,SIDE,1
IN-6-CP,SIDE,3
IN-6-CP,SIDE,1
IN-6-CP,SIDE,1
IN-6-CP,SIDE,1
IN-6-CP,DSTO,3
IN-6-CP,SIDE,2
IN-6-CP,SIDE,3
IN-6-CP,PAST,6
IN-6-CP,SIDE,3
IN-6-CP,SIDE,2
IN-6-CP,SIDE,1
IN-6-CP,SIDE,1
IN-6-CP,SIDE,1
IN-6-CP,SIDE,2
