site,taxon,class,n
1,ACER,<4cm,0
1,ACER,>4cm,0
1,AGAR,<4cm,0
1,AGAR,>4cm,0
1,DSTO,>4cm,0
1,EFAS,>4cm,0
1,FAVI,<4cm,1
1,FAVI,>4cm,0
1,FFRA,>4cm,0
1,MADR,<4cm,0
1,MADR,>4cm,0
1,MANG,>4cm,0
1,MCAV,<4cm,0
1,MCAV,>4cm,6
1,MEAN,<4cm,0
1,MMEA,>4cm,0
1,MUSS,<4cm,1
1,MYCE,>4cm,0
1,OCUL,<4cm,0
1,OCUL,>4cm,0
1,ORBI,<4cm,0
1,ORBI,>4cm,0
1,PAME,<4cm,0
1,PAME,>4cm,0
1,PORI,<4cm,1
1,PORI,>4cm,3
1,SCOL,>4cm,0
1,SIDE,<4cm,17
1,SIDE,>4cm,4
1,SINT,<4cm,2
1,SINT,>4cm,6
1,SOLE,<4cm,0
1,SOLE,>4cm,0
2,ACER,<4cm,0
2,ACER,>4cm,0
2,AGAR,<4cm,0
2,AGAR,>4cm,0
2,DSTO,>4cm,0
2,EFAS,>4cm,0
2,FAVI,<4cm,0
2,FAVI,>4cm,0
2,FFRA,>4cm,0
2,MADR,<4cm,0
2,MADR,>4cm,1
2,MANG,>4cm,0
2,MCAV,<4cm,0
2,MCAV,>4cm,3
2,MEAN,<4cm,0
2,MMEA,>4cm,0
2,MUSS,<4cm,0
2,MYCE,>4cm,0
2,OCUL,<4cm,0
2,OCUL,>4cm,0
2,ORBI,<4cm,0
2,ORBI,>4cm,0
2,PAME,<4cm,0
2,PAME,>4cm,0
2,PORI,<4cm,0
2,PORI,>4cm,3
2,SCOL,>4cm,0
2,SIDE,<4cm,0
2,SIDE,>4cm,0
2,SINT,<4cm,0
2,SINT,>4cm,3
2,SOLE,<4cm,0
2,SOLE,>4cm,0
3,ACER,<4cm,0
3,ACER,>4cm,0
3,AGAR,<4cm,0
3,AGAR,>4cm,2
3,DSTO,>4cm,0
3,EFAS,>4cm,1
3,FAVI,<4cm,0
3,FAVI,>4cm,1
3,FFRA,>4cm,0
3,MADR,<4cm,0
3,MADR,>4cm,4
3,MANG,>4cm,0
3,MCAV,<4cm,6
3,MCAV,>4cm,8
3,MEAN,<4cm,0
3,MMEA,>4cm,1
3,MUSS,<4cm,0
3,MYCE,>4cm,0
3,OCUL,<4cm,0
3,OCUL,>4cm,0
3,ORBI,<4cm,0
3,ORBI,>4cm,0
3,PAME,<4cm,0
3,PAME,>4cm,0
3,PORI,<4cm,3
3,PORI,>4cm,23
3,SCOL,>4cm,0
3,SIDE,<4cm,15
3,SIDE,>4cm,11
3,SINT,<4cm,4
3,SINT,>4cm,10
3,SOLE,<4cm,0
3,SOLE,>4cm,0
4,ACER,<4cm,0
4,ACER,>4cm,0
4,AGAR,<4cm,0
4,AGAR,>4cm,1
4,DSTO,>4cm,0
4,EFAS,>4cm,0
4,FAVI,<4cm,0
4,FAVI,>4cm,0
4,FFRA,>4cm,0
4,MADR,<4cm,0
4,MADR,>4cm,3
4,MANG,>4cm,0
4,MCAV,<4cm,2
4,MCAV,>4cm,3
4,MEAN,<4cm,0
4,MMEA,>4cm,0
4,MUSS,<4cm,0
4,MYCE,>4cm,0
4,OCUL,<4cm,0
4,OCUL,>4cm,0
4,ORBI,<4cm,0
4,ORBI,>4cm,0
4,PAME,<4cm,0
4,PAME,>4cm,0
4,PORI,<4cm,3
4,PORI,>4cm,4
4,SCOL,>4cm,0
4,SIDE,<4cm,18
4,SIDE,>4cm,4
4,SINT,<4cm,0
4,SINT,>4cm,6
4,SOLE,<4cm,0
4,SOLE,>4cm,0
5,ACER,<4cm,0
5,ACER,>4cm,0
5,AGAR,<4cm,0
5,AGAR,>4cm,0
5,DSTO,>4cm,0
5,EFAS,>4cm,0
5,FAVI,<4cm,0
5,FAVI,>4cm,0
5,FFRA,>4cm,0
5,MADR,<4cm,0
5,MADR,>4cm,1
5,MANG,>4cm,0
5,MCAV,<4cm,5
5,MCAV,>4cm,1
5,MEAN,<4cm,0
5,MMEA,>4cm,1
5,MUSS,<4cm,0
5,MYCE,>4cm,1
5,OCUL,<4cm,0
5,OCUL,>4cm,0
5,ORBI,<4cm,0
5,ORBI,>4cm,0
5,PAME,<4cm,0
5,PAME,>4cm,0
5,PORI,<4cm,0
5,PORI,>4cm,19
5,SCOL,>4cm,0
5,SIDE,<4cm,11
5,SIDE,>4cm,5
5,SINT,<4cm,0
5,SINT,>4cm,5
5,SOLE,<4cm,0
5,SOLE,>4cm,0
6,ACER,<4cm,0
6,ACER,>4cm,0
6,AGAR,<4cm,0
6,AGAR,>4cm,1
6,DSTO,>4cm,1
6,EFAS,>4cm,0
6,FAVI,<4cm,0
6,FAVI,>4cm,0
6,FFRA,>4cm,0
6,MADR,<4cm,0
6,MADR,>4cm,6
6,MANG,>4cm,0
6,MCAV,<4cm,5
6,MCAV,>4cm,3
6,MEAN,<4cm,1
6,MMEA,>4cm,1
6,MUSS,<4cm,0
6,MYCE,>4cm,0
6,OCUL,<4cm,0
6,OCUL,>4cm,0
6,ORBI,<4cm,0
6,ORBI,>4cm,0
6,PAME,<4cm,0
6,PAME,>4cm,0
6,PORI,<4cm,4
6,PORI,>4cm,11
6,SCOL,>4cm,0
6,SIDE,<4cm,14
6,SIDE,>4cm,4
6,SINT,<4cm,8
6,SINT,>4cm,7
6,SOLE,<4cm,0
6,SOLE,>4cm,0
7,ACER,<4cm,0
7,ACER,>4cm,0
7,AGAR,<4cm,3
7,AGAR,>4cm,6
7,DSTO,>4cm,0
7,EFAS,>4cm,1
7,FAVI,<4cm,0
7,FAVI,>4cm,0
7,FFRA,>4cm,0
7,MADR,<4cm,1
7,MADR,>4cm,4
7,MANG,>4cm,0
7,MCAV,<4cm,13
7,MCAV,>4cm,10
7,MEAN,<4cm,0
7,MMEA,>4cm,1
7,MUSS,<4cm,2
