site,taxon,max_width_cm
1,MCAV,6
1,SSID,2
1,MCAV,5
1,PAST,2
1,SRAD,2
1,SINT,3
1,SINT,5
1,SSID,3
1,SINT,8
1,SSID,12
1,SSID,1
1,MCAV,6
1,SINT,3
1,SINT,11
1,MCAV,4
1,MCAV,5
1,SRAD,3
1,MLAM,3
1,PAST,12
1,PAST,6
1,SSID,14
1,MCAV,6
1,SSID,3
1,SSID,13
1,SINT,7
1,SSID,3
1,PSTR,3
1,SINT,4
1,SSID,2
1,SINT,9
1,SSID,4
1,PPOR,5
1,SSID,1
1,SRAD,2
1,SSID,1
1,SRAD,2
1,SSID,1
1,SSID,1
1,SSID,2
1,SSID,1
1,SRAD,2
2,MCAV,12
2,MCAV,22
2,PAST,6
2,MDEC,4
2,SINT,4
2,SINT,9
2,SINT,8
2,MCAV,13
2,PAST,13
2,PAST,8
3,SSID,3
3,SSID,8
3,SSID,1
3,MCAV,12
3,PAST,9
3,PAST,1
3,SSID,1
3,AAGA,23
3,MCAV,14
3,AAGA,37
3,SSID,5
3,SSID,5
3,PAST,2
3,MDEC,29
3,PAST,12
3,SINT,6
3,PAST,7
3,SINT,5
3,SINT,12
3,PAST,17
3,SINT,12
3,PPOR,8
3,MCAV,5
3,SSID,4
3,MDEC,12
3,SSID,2
3,SSID,2
3,SSID,2
3,SSID,2
3,SSID,2
3,MCAV,3
3,MCAV,9
3,SINT,4
3,SSID,3
3,SSID,1
3,PAST,6
3,PAST,11
3,SINT,9
3,PAST,6
3,PAST,12
3,PAST,8
3,SINT,3
3,SINT,6
3,SSID,10
3,SSID,8
3,MCAV,27
3,MCAV,11
3,PAST,3
3,PAST,8
3,PAST,12
3,PAST,12
3,DLAB,38
3,MCAV,4
3,SINT,4
3,SINT,6
3,PAST,9
3,SSID,6
3,SSID,8
3,SSID,1
3,SSID,2
3,MDEC,9
3,MCAV,1
3,PAST,5
3,SINT,2
3,MDEC,22
3,MMEA,4
3,MCAV,2
3,SSID,8
3,PAST,7
3,PAST,11
3,MCAV,1
3,PAST,6
3,PAST,14
3,MCAV,1
3,MCAV,13
3,PAST,12
3,SSID,5
3,SSID,6
3,SSID,3
3,PAST,14
3,SSID,2
3,PPOR,9
3,SSID,2
3,SINT,6
3,SINT,2
3,SINT,1
3,PAST,14
3,EFAS,6
3,MCAV,3
4,PAST,3
4,SSID,5
4,MCAV,2
4,MCAV,2
4,SSID,3
4,SSID,2
4,SSID,2
4,SINT,5
4,SINT,7
4,MDEC,33
4,MCAV,6
4,MCAV,4
4,MCAV,7
4,SINT,5
4,PAST,6
4,AAGA,5
4,MDEC,10
4,SSID,14
4,SINT,4
4,SSID,4
4,SSID,2
4,SSID,2
4,SSID,1
4,SSID,1
4,SSID,1
4,SRAD,3
4,SRAD,3
4,SINT,5
4,SRAD,1
4,SRAD,1
4,SRAD,3
4,SSID,4
4,SSID,1
4,PAST,3
4,PAST,3
4,PAST,5
4,MDEC,5
4,PPOR,7
4,SSID,2
4,SSID,1
4,SSID,3
4,SSID,1
4,PAST,14
4,SINT,7
5,MMEA,8
5,MCAV,2
5,PAST,11
5,MCAV,3
5,MALI,14
5,PAST,6
5,SINT,8
5,MDEC,10
5,SINT,4
5,SSID,4
5,PAST,15
5,PAST,11
5,SSID,3
5,SSID,3
5,SSID,1
5,SSID,1
5,SSID,1
5,PAST,9
5,PAST,7
5,MCAV,2
5,PAST,15
5,SSID,4
5,PAST,10
5,SSID,8
5,PAST,10
5,SINT,4
5,SRAD,3
5,SSID,1
5,PAST,5
5,PAST,12
5,MCAV,3
5,PAST,12
5,PAST,11
5,SINT,15
5,MCAV,3
5,PAST,13
5,SSID,1
5,SSID,1
5,MCAV,4
5,SSID,3
5,PAST,9
5,PAST,17
5,SSID,12
5,SINT,5
5,PAST,6
5,SSID,2
5,PAST,12
5,PAST,4
5,SSID,4
6,MCAV,1
6,MCAV,3
6,PAST,1
6,SRAD,1
6,PAST,6
6,PAST,12
6,PAST,12
6,PAST,8
6,PAST,21
6,PAST,8
6,SINT,2
6,MDEC,8
6,MCAV,2
6,SSID,3
6,PAST,15
6,MCAV,4
6,SSID,1
6,SSID,3
6,MCAV,14
6,MMEA,3
6,MCAV,2
6,SSID,3
6,SSID,3
6,SSID,3
6,PAST,9
6,SINT,3
6,PAST,3
6,MCAV,2
6,PAST,3
6,SINT,4
6,SINT,2
6,SSID,2
6,PAST,12
6,SINT,4
6,SSID,1
6,PAST,1
6,SINT,2
6,SSID,7
6,SSID,5
6,SSID,1
6,SSID,1
6,SSID,1
6,SINT,6
6,DSTO,6
6,SINT,2
6,SSID,3
6,SINT,2
6,SINT,2
6,SINT,4
6,SINT,6
6,MDEC,4
6,MDEC,25
6,MMEA,9
6,SSID,6
6,SSID,2
6,PAST,9
6,SINT,2
6,SINT,6
6,SSID,6
6,ALAM,18
6,PAST,14
6,MPHA,11
6,MDEC,20
6,MCAV,6
6,MDEC,7
6,SINT,15
7,PAST,9
7,SINT,3
7,SINT,3
7,SINT,3
7,MCAV,1
7,SINT,15
7,AAGA,6
7,AAGA,5
7,MCAV,2
7,MCAV,1
7,SSID,1
7,SSID,1
7,SSID,1
7,SSID,1
7,PAST,13
7,MDEC,22
7,MALI,6
7,SCUB,2
7,SSID,1
7,SSID,1
7,SSID,1
7,SSID,1
7,SINT,3
7,SINT,3
7,MDEC,12
7,MCAV,4
7,SINT,4
7,AAGA,4
7,SSID,1
7,SSID,1
7,AAGA,32
7,MDEC,18
7,PAST,13
7,PAST,6
7,SINT,11
7,PAST,34
7,SSID,2
7,SSID,2
7,SSID,2
7,SSID,2
7,AAGA,35
7,PAST,3
7,SSID,1
7,SSID,1
7,SINT,3
7,SINT,6
7,SINT,2
7,PAST,6
7,SSID,4
7,SINT,8
7,SINT,4
7,SSID,1
7,MMEA,5
7,SINT,4
7,SSID,2
7,SSID,2
7,SSID,2
7,SINT,2
7,MDEC,2
7,SSID,1
7,SINT,3
7,SSID,2
7,SINT,9
7,SSID,7
7,AAGA,3
7,PAST,4
7,SSID,2
7,SSID,1
7,PAST,7
7,PAST,6
7,PAST,14
7,MCAV,4
7,MCAV,2
7,SSID,3
7,SSID,3
7,SSID,1
7,MCAV,3
