site,taxon,class,n
AN-1,ACER,<4cm,0
AN-1,ACER,>4cm,0
AN-1,AGAR,<4cm,0
AN-1,AGAR,>4cm,0
AN-1,DSTO,>4cm,0
AN-1,EFAS,>4cm,0
AN-1,FAVI,<4cm,0
AN-1,FAVI,>4cm,0
AN-1,FFRA,>4cm,0
AN-1,HCUC,<4cm,0
AN-1,HCUC,>4cm,0
AN-1,MADR,<4cm,0
AN-1,MADR,>4cm,0
AN-1,MCAV,<4cm,0
AN-1,MCAV,>4cm,1
AN-1,MEAN,<4cm,0
AN-1,MMEA,>4cm,0
AN-1,MUSS,<4cm,0
AN-1,MYCE,>4cm,0
AN-1,ORBI,<4cm,0
AN-1,ORBI,>4cm,0
AN-1,OROB,<4cm,0
AN-1,OROB,>4cm,0
AN-1,PAME,<4cm,0
AN-1,PAME,>4cm,0
AN-1,PORI,<4cm,0
AN-1,PORI,>4cm,0
AN-1,SCOL,>4cm,0
AN-1,SIDE,<4cm,18
AN-1,SIDE,>4cm,0
AN-1,SINT,<4cm,0
AN-1,SINT,>4cm,1
AN-1,SOLE,<4cm,0
AN-1,SOLE,>4cm,0
AN-2,ACER,<4cm,0
AN-2,ACER,>4cm,0
AN-2,AGAR,<4cm,0
AN-2,AGAR,>4cm,0
AN-2,DSTO,>4cm,0
AN-2,EFAS,>4cm,0
AN-2,FAVI,<4cm,0
AN-2,FAVI,>4cm,0
AN-2,FFRA,>4cm,0
AN-2,HCUC,<4cm,0
AN-2,HCUC,>4cm,0
AN-2,MADR,<4cm,0
AN-2,MADR,>4cm,0
AN-2,MCAV,<4cm,0
AN-2,MCAV,>4cm,1
AN-2,MEAN,<4cm,0
AN-2,MMEA,>4cm,0
AN-2,MUSS,<4cm,0
AN-2,MYCE,>4cm,0
AN-2,ORBI,<4cm,0
AN-2,ORBI,>4cm,0
AN-2,OROB,<4cm,0
AN-2,OROB,>4cm,0
AN-2,PAME,<4cm,0
AN-2,PAME,>4cm,0
AN-2,PAME,NA,2
AN-2,PORI,<4cm,0
AN-2,PORI,>4cm,0
AN-2,SCOL,>4cm,0
AN-2,SIDE,<4cm,11
AN-2,SIDE,>4cm,0
AN-2,SINT,<4cm,0
AN-2,SINT,>4cm,0
AN-2,SOLE,<4cm,0
AN-2,SOLE,>4cm,1
C-13-a,ACER,<4cm,0
C-13-a,ACER,>4cm,0
C-13-a,AGAR,<4cm,0
C-13-a,AGAR,>4cm,0
C-13-a,DSTO,>4cm,1
C-13-a,EFAS,>4cm,0
C-13-a,FAVI,<4cm,0
C-13-a,FAVI,>4cm,0
C-13-a,FFRA,>4cm,0
C-13-a,HCUC,<4cm,0
C-13-a,HCUC,>4cm,0
C-13-a,MADR,<4cm,0
C-13-a,MADR,>4cm,0
C-13-a,MCAV,<4cm,11
C-13-a,MCAV,>4cm,1
C-13-a,MEAN,<4cm,1
C-13-a,MMEA,>4cm,1
C-13-a,MUSS,<4cm,0
C-13-a,MYCE,>4cm,0
C-13-a,ORBI,<4cm,0
C-13-a,ORBI,>4cm,0
C-13-a,OROB,<4cm,0
C-13-a,OROB,>4cm,0
C-13-a,PAME,<4cm,0
C-13-a,PAME,>4cm,0
C-13-a,PORI,<4cm,3
C-13-a,PORI,>4cm,4
C-13-a,SCOL,>4cm,0
C-13-a,SIDE,<4cm,19
C-13-a,SIDE,>4cm,7
C-13-a,SINT,<4cm,6
C-13-a,SINT,>4cm,9
C-13-a,SOLE,<4cm,0
C-13-a,SOLE,>4cm,0
C-13-b,ACER,<4cm,0
C-13-b,ACER,>4cm,0
C-13-b,AGAR,<4cm,0
C-13-b,AGAR,>4cm,0
C-13-b,DSTO,>4cm,2
C-13-b,EFAS,>4cm,0
C-13-b,FAVI,<4cm,0
C-13-b,FAVI,>4cm,1
C-13-b,FFRA,>4cm,0
C-13-b,HCUC,<4cm,0
C-13-b,HCUC,>4cm,0
C-13-b,MADR,<4cm,0
C-13-b,MADR,>4cm,1
C-13-b,MCAV,<4cm,13
C-13-b,MCAV,>4cm,2
C-13-b,MEAN,<4cm,1
C-13-b,MMEA,>4cm,1
C-13-b,MUSS,<4cm,0
C-13-b,MYCE,>4cm,0
C-13-b,ORBI,<4cm,0
C-13-b,ORBI,>4cm,0
C-13-b,OROB,<4cm,0
C-13-b,OROB,>4cm,0
C-13-b,PAME,<4cm,0
C-13-b,PAME,>4cm,0
C-13-b,PORI,<4cm,1
C-13-b,PORI,>4cm,4
C-13-b,SCOL,>4cm,0
C-13-b,SIDE,<4cm,20
C-13-b,SIDE,>4cm,11
C-13-b,SINT,<4cm,5
C-13-b,SINT,>4cm,8
C-13-b,SOLE,<4cm,0
C-13-b,SOLE,>4cm,0
C-13-c,ACER,<4cm,0
C-13-c,ACER,>4cm,0
C-13-c,AGAR,<4cm,0
C-13-c,AGAR,>4cm,1
C-13-c,DSTO,>4cm,2
C-13-c,EFAS,>4cm,0
C-13-c,FAVI,<4cm,0
C-13-c,FAVI,>4cm,0
C-13-c,FFRA,>4cm,0
C-13-c,HCUC,<4cm,0
C-13-c,HCUC,>4cm,0
C-13-c,MADR,<4cm,0
C-13-c,MADR,>4cm,0
C-13-c,MCAV,<4cm,8
C-13-c,MCAV,>4cm,3
C-13-c,MEAN,<4cm,0
C-13-c,MMEA,>4cm,0
C-13-c,MUSS,<4cm,0
C-13-c,MYCE,>4cm,0
C-13-c,ORBI,<4cm,0
C-13-c,ORBI,>4cm,0
C-13-c,OROB,<4cm,0
C-13-c,OROB,>4cm,0
C-13-c,PAME,<4cm,0
C-13-c,PAME,>4cm,0
C-13-c,PORI,<4cm,7
C-13-c,PORI,>4cm,6
C-13-c,SCOL,>4cm,0
C-13-c,SIDE,<4cm,33
C-13-c,SIDE,>4cm,7
C-13-c,SINT,<4cm,1
C-13-c,SINT,>4cm,6
C-13-c,SOLE,<4cm,0
C-13-c,SOLE,>4cm,0
C-16-a,ACER,<4cm,0
C-16-a,ACER,>4cm,0
C-16-a,AGAR,<4cm,0
C-16-a,AGAR,>4cm,0
C-16-a,DSTO,>4cm,0
C-16-a,EFAS,>4cm,0
C-16-a,FAVI,<4cm,1
C-16-a,FAVI,>4cm,1
C-16-a,FFRA,>4cm,0
C-16-a,HCUC,<4cm,0
C-16-a,HCUC,>4cm,0
C-16-a,MADR,<4cm,0
C-16-a,MADR,>4cm,0
C-16-a,MCAV,<4cm,7
C-16-a,MCAV,>4cm,2
C-16-a,MEAN,<4cm,0
C-16-a,MMEA,>4cm,0
C-16-a,MUSS,<4cm,0
C-16-a,MYCE,>4cm,0
C-16-a,ORBI,<4cm,0
C-16-a,ORBI,>4cm,0
C-16-a,OROB,<4cm,0
C-16-a,OROB,>4cm,0
C-16-a,PAME,<4cm,0
C-16-a,PAME,>4cm,0
C-16-a,PORI,<4cm,4
C-16-a,PORI,>4cm,1
C-16-a,SCOL,>4cm,0
C-16-a,SIDE,<4cm,129
C-16-a,SIDE,>4cm,5
C-16-a,SINT,<4cm,0
C-16-a,SINT,>4cm,2
C-16-a,SOLE,<4cm,1
C-16-a,SOLE,>4cm,0
C-16-b,ACER,<4cm,0
C-16-b,ACER,>4cm,0
C-16-b,AGAR,<4cm,0
C-16-b,AGAR,>4cm,0
C-16-b,DSTO,>4cm,0
C-16-b,EFAS,>4cm,0
C-16-b,FAVI,<4cm,0
C-16-b,FAVI,>4cm,0
C-16-b,FFRA,>4cm,0
C-16-b,HCUC,<4cm,0
C-16-b,HCUC,>4cm,0
C-16-b,MADR,<4cm,0
C-16-b,MADR,>4cm,0
C-16-b,MCAV,<4cm,0
C-16-b,MCAV,>4cm,0
C-16-b,MEAN,<4cm,0
C-16-b,MMEA,>4cm,0
C-16-b,MUSS,<4cm,0
C-16-b,MYCE,>4cm,0
C-16-b,ORBI,<4cm,0
C-16-b,ORBI,>4cm,0
C-16-b,OROB,<4cm,0
C-16-b,OROB,>4cm,0
C-16-b,PAME,<4cm,0
C-16-b,PAME,>4cm,0
C-16-b,PORI,<4cm,1
C-16-b,PORI,>4cm,0
C-16-b,SCOL,>4cm,0
C-16-b,SIDE,<4cm,77
C-16-b,SIDE,>4cm,3
C-16-b,SINT,<4cm,1
C-16-b,SINT,>4cm,1
C-16-b,SOLE,<4cm,8
C-16-b,SOLE,>4cm,1
C-16-c,ACER,<4cm,0
C-16-c,ACER,>4cm,0
C-16-c,AGAR,<4cm,0
C-16-c,AGAR,>4cm,0
C-16-c,DSTO,>4cm,1
C-16-c,EFAS,>4cm,0
C-16-c,FAVI,<4cm,0
C-16-c,FAVI,>4cm,0
C-16-c,FFRA,>4cm,0
C-16-c,HCUC,<4cm,0
C-16-c,HCUC,>4cm,0
C-16-c,MADR,<4cm,0
C-16-c,MADR,>4cm,0
C-16-c,MCAV,<4cm,0
C-16-c,MCAV,>4cm,0
C-16-c,MEAN,<4cm,1
C-16-c,MMEA,>4cm,0
C-16-c,MUSS,<4cm,0
C-16-c,MYCE,>4cm,0
C-16-c,ORBI,<4cm,0
C-16-c,ORBI,>4cm,0
