Impact area,ACER,ORBI,Non-ESA corals,Total corals,Adult conch,Adult conch within 330 m of breeding activity,Juvenile conch,Total conch
Channel,29 (9-90),194 (130-281),"169,207 (150,978-190,586)","169,430 (151,184-190,810)",1 (0-5),0 (0-1),0 (0-6),1 (0-8)
Side Slopes,339 (179-605),23 (15-35),"50,497 (40,686-62,753)","50,859 (41,032-63,177)",9 (0-55),4 (0-15),2 (0-61),11 (0-85)
Sediment deposition >10 cm,"801 (425-1,429)",86 (61-122),"155,306 (131,752-185,172)","156,193 (132,693-186,209)",30 (0-135),18 (0-56),9 (0-144),39 (0-210)
Sediment deposition 5-10 cm,"820 (435-1,463)",85 (60-119),"155,519 (131,540-186,231)","156,424 (132,472-187,163)",33 (0-136),20 (0-62),10 (0-144),43 (0-212)
Sediment deposition 1-5 cm,"3,971 (2,109-7,086)",374 (262-527),"718,453 (603,266-866,515)","722,797 (608,048-871,770)",275 (25-525),187 (90-284),109 (0-435),384 (0-794)
Sediment deposition 0.5-1 cm,"2,707 (1,437-4,831)",245 (172-345),"478,308 (400,287-578,905)","481,260 (403,226-581,904)",446 (251-642),314 (236-392),111 (0-365),557 (236-878)
Sediment deposition 0.1-0.5 cm,"6,948 (3,691-12,381)",626 (439-890),"1,253,869 (1,051,253-1,513,901)","1,261,443 (1,058,834-1,522,141)","1,157 (820-1,493)","921 (786-1,057)",526 (89-963),"1,683 (1,131-2,234)"
Nearshore,"1,123 (593-1,997)",29 (16-52),"131,675 (99,722-172,806)","132,828 (100,809-173,970)",375 (256-494),375 (256-494),662 (513-812),"1,037 (846-1,228)"
North,11 (2-37),135 (83-208),"130,003 (112,383-151,132)","130,148 (112,518-151,286)",0 (0-0),0 (0-0),0 (0-0),0 (0-0)
East,7 (1-23),84 (52-129),"81,017 (70,037-94,185)","81,108 (70,121-94,281)",0 (0-0),0 (0-0),0 (0-0),0 (0-0)
South,5 (1-16),60 (37-92),"57,615 (49,807-66,980)","57,680 (49,867-67,048)",0 (0-0),0 (0-0),0 (0-0),0 (0-0)
Rest of impact monitoring area,"22,418 (11,905-39,939)","2,813 (2,002-3,914)","4,760,961 (4,086,785-5,607,645)","4,786,192 (4,112,360-5,632,149)","2,767 (2,134-3,400)","1,052 (727-1,376)","7,738 (6,926-8,550)","10,505 (9,475-11,535)"
Total,"39,179 (20,809-69,849)","4,754 (3,397-6,619)","8,142,431 (6,975,664-9,615,929)","8,186,363 (7,019,661-9,659,369)","5,092 (4,284-5,900)","2,892 (2,496-3,287)","9,168 (8,127-10,209)","14,260 (12,943-15,578)"
