name,ACER,ORBI,non-ESA,Total,cum_ACER,cum_ORBI,cum_non_ESA,cum_Total
Channel,    45,   670,"  176,295","  177,010",    45,   670,"  176,295","  177,010"
Side Slopes,   438,    79,"   49,846","   50,363",   483,   749,"  226,141","  227,373"
Depth_10cm," 1,034",   317,"  154,332","  155,683"," 1,517"," 1,066","  380,473","  383,056"
Depth_5cm," 1,059",   307,"  154,715","  156,081"," 2,576"," 1,373","  535,188","  539,137"
Depth_1cm," 5,123"," 1,355","  713,452","  719,930"," 7,699"," 2,728","1,248,640","1,259,067"
Depth_0_5cm," 3,493",   878,"  475,223","  479,594","11,192"," 3,606","1,723,863","1,738,661"
Depth_0_1cm," 8,960"," 2,316","1,242,970","1,254,246","20,152"," 5,922","2,966,833","2,992,907"
Nearshore," 1,445",    85,"  129,876","  131,406","21,597"," 6,007","3,096,709","3,124,313"
North,    13,   444,"  138,877","  139,334","21,610"," 6,451","3,235,586","3,263,647"
East,     8,   276,"   86,548","   86,832","21,618"," 6,727","3,322,134","3,350,479"
South,     6,   197,"   61,549","   61,752","21,624"," 6,924","3,383,683","3,412,231"
Rest of Monitoring Area,"28,942","10,313","4,750,030","4,789,285","50,566","17,237","8,133,713","8,201,516"
