taxon,class,Nearshore Ridge Complex,Inner Reef,Middle Reef,Outer Reef
ACER,<4cm,3.4e-04<br>[8.7e-05–8.6e-04],NA,NA,NA
ACER,>4cm,0.0205<br>[0.0090–0.0415],5.2e-04<br>[1.0e-04–1.5e-03],1.1e-05<br>[9.3e-07–3.6e-05],4.7e-05<br>[7.8e-06–1.5e-04]
AGAR,<4cm,0.0012<br>[0.0003–0.0032],0.0029<br>[0.0006–0.0074],0.0023<br>[0.0002–0.0089],0.0064<br>[0.0019–0.0169]
AGAR,>4cm,0.0046<br>[0.0017–0.0099],0.0111<br>[0.0030–0.0245],0.0121<br>[0.0020–0.0454],0.0316<br>[0.0108–0.0671]
CNAT,>4cm,NA,5.8e-04<br>[1.5e-05–2.5e-03],NA,0.0012<br>[0.0002–0.0044]
DLAB,>4cm,0.0012<br>[0.0003–0.0029],0.0016<br>[0.0003–0.0046],0.0039<br>[0.0005–0.0152],0.0020<br>[0.0005–0.0049]
DSTO,>4cm,0.0222<br>[0.0099–0.0453],0.0193<br>[0.0080–0.0372],0.0037<br>[0.0007–0.0126],0.0070<br>[0.0026–0.0160]
EFAS,>4cm,9.3e-04<br>[1.8e-04–2.4e-03],0.0080<br>[0.0027–0.0199],0.0079<br>[0.0012–0.0223],0.0040<br>[0.0010–0.0101]
FAVI,<4cm,0.0071<br>[0.0024–0.0146],0.0076<br>[0.0020–0.0198],0.0085<br>[0.0014–0.0304],0.0047<br>[0.0012–0.0112]
MADR,<4cm,NA,0.0015<br>[0.0001–0.0050],7.9e-04<br>[3.3e-05–3.8e-03],0.0110<br>[0.0032–0.0273]
MADR,>4cm,0.0019<br>[0.0005–0.0052],0.0055<br>[0.0013–0.0151],0.0250<br>[0.0037–0.0806],0.0701<br>[0.0221–0.1883]
MCAV,<4cm,0.0485<br>[0.0226–0.0979],0.1455<br>[0.0645–0.3111],0.1128<br>[0.0225–0.3632],0.1657<br>[0.0581–0.3837]
MCAV,>4cm,0.0413<br>[0.0198–0.0779],0.1208<br>[0.0569–0.2591],0.1602<br>[0.0316–0.5710],0.1572<br>[0.0542–0.3864]
MEAN,<4cm,0.0146<br>[0.0053–0.0296],0.0167<br>[0.0063–0.0375],0.0201<br>[0.0034–0.0737],0.0175<br>[0.0050–0.0401]
MMEA,>4cm,0.0027<br>[0.0009–0.0061],0.0054<br>[0.0018–0.0144],0.0216<br>[0.0039–0.0674],0.0155<br>[0.0050–0.0356]
MUSS,<4cm,0.0018<br>[0.0004–0.0049],0.0019<br>[0.0002–0.0071],0.0024<br>[0.0002–0.0103],0.0073<br>[0.0022–0.0179]
MYCE,>4cm,NA,0.0035<br>[0.0007–0.0096],0.0086<br>[0.0013–0.0284],0.0037<br>[0.0010–0.0094]
ORBI,<4cm,9.9e-05<br>[1.7e-05–3.3e-04],NA,3.4e-04<br>[1.3e-05–1.5e-03],2.8e-04<br>[2.5e-05–9.9e-04]
ORBI,>4cm,0.0011<br>[0.0004–0.0022],0.0046<br>[0.0020–0.0093],0.0025<br>[0.0005–0.0080],0.0039<br>[0.0012–0.0102]
PCLI,>4cm,0.0042<br>[0.0016–0.0095],NA,NA,NA
PORI,<4cm,0.0562<br>[0.0291–0.1096],0.0263<br>[0.0087–0.0552],0.0306<br>[0.0057–0.1071],0.1403<br>[0.0480–0.2941]
PORI,>4cm,0.1091<br>[0.0519–0.2242],0.1299<br>[0.0590–0.2542],0.1706<br>[0.0363–0.5922],0.4672<br>[0.1651–1.0317]
PSTR,>4cm,0.0072<br>[0.0029–0.0142],0.0145<br>[0.0059–0.0291],0.0046<br>[0.0006–0.0171],0.0027<br>[0.0006–0.0078]
SIDE,<4cm,1.2117<br>[0.5641–2.4891],0.7066<br>[0.3160–1.4079],0.4837<br>[0.0894–1.6469],0.6185<br>[0.2322–1.2748]
SIDE,>4cm,0.1633<br>[0.0873–0.3055],0.3378<br>[0.1568–0.7610],0.2358<br>[0.0456–0.7998],0.2546<br>[0.0870–0.5536]
SINT,<4cm,0.0539<br>[0.0222–0.1232],0.0650<br>[0.0269–0.1164],0.0844<br>[0.0141–0.3034],0.1487<br>[0.0535–0.3473]
SINT,>4cm,0.0994<br>[0.0459–0.1920],0.1940<br>[0.0765–0.4303],0.2501<br>[0.0489–0.8755],0.2395<br>[0.0769–0.5374]
SOLE,<4cm,0.0062<br>[0.0024–0.0144],0.0105<br>[0.0032–0.0246],0.0036<br>[0.0004–0.0130],0.0102<br>[0.0031–0.0250]
SOLE,>4cm,0.0218<br>[0.0098–0.0419],0.0171<br>[0.0062–0.0366],0.0081<br>[0.0015–0.0290],0.0066<br>[0.0019–0.0177]
